Size,ArrayType,Algorithm,TimeMs,Comparisons
1300,NearlySorted,StringQuickSort,0.112266,31234
1300,NearlySorted,MSD,0.267301,6196
1300,NearlySorted,MSD_QS,0.122226,11558
1300,CommonPrefix,MergeSort,1.03724,359614
1300,CommonPrefix,QuickSort,0.191075,221604
1300,CommonPrefix,StringMergeSort,0.834179,181650
1300,CommonPrefix,StringQuickSort,0.107971,32472
1300,CommonPrefix,MSD,0.668917,42116
1300,CommonPrefix,MSD_QS,0.491312,44227
1400,Random,MergeSort,0.841024,34745
1400,Random,QuickSort,0.135251,21233
1400,Random,StringMergeSort,0.858601,17595
1400,Random,StringQuickSort,0.0997324,15458
1400,Random,MSD,0.255184,6162
1400,Random,MSD_QS,0.111867,8638
1400,Reverse,MergeSort,0.776305,33444
1400,Reverse,QuickSort,2.37286,1007848
1400,Reverse,StringMergeSort,0.792924,11148
1400,Reverse,StringQuickSort,0.161419,40988
1400,Reverse,MSD,0.331108,6820
1400,Reverse,MSD_QS,0.155774,26168
1400,NearlySorted,MergeSort,0.78335,24173
1400,NearlySorted,QuickSort,1.47274,422974
1400,NearlySorted,StringMergeSort,0.739034,16239
1400,NearlySorted,StringQuickSort,0.120326,35367
1400,NearlySorted,MSD,0.277459,6692
1400,NearlySorted,MSD_QS,0.103237,12530
1400,CommonPrefix,MergeSort,1.40343,391370
1400,CommonPrefix,QuickSort,0.3144,255416
1400,CommonPrefix,StringMergeSort,1.00492,198316
1400,CommonPrefix,StringQuickSort,0.117693,35715
1400,CommonPrefix,MSD,0.696907,45398
1400,CommonPrefix,MSD_QS,0.509487,47786
1500,Random,MergeSort,1.04431,37961
1500,Random,QuickSort,0.177489,22787
1500,Random,StringMergeSort,1.03949,19117
1500,Random,StringQuickSort,0.116864,17969
1500,Random,MSD,0.285816,6674
1500,Random,MSD_QS,0.120901,9417
1500,Reverse,MergeSort,0.850423,36441
1500,Reverse,QuickSort,2.843,1154946
1500,Reverse,StringMergeSort,0.771912,12147
1500,Reverse,StringQuickSort,0.166989,45934
1500,Reverse,MSD,0.326874,7316
1500,Reverse,MSD_QS,0.214431,28143
1500,NearlySorted,MergeSort,0.868596,25695
1500,NearlySorted,QuickSort,1.60995,565730
1500,NearlySorted,StringMergeSort,0.914684,17393
1500,NearlySorted,StringQuickSort,0.153285,39751
1500,NearlySorted,MSD,0.318409,7176
1500,NearlySorted,MSD_QS,0.121535,13511
1500,CommonPrefix,MergeSort,1.10276,424768
1500,CommonPrefix,QuickSort,0.260443,290581
1500,CommonPrefix,StringMergeSort,1.19484,215074
1500,CommonPrefix,StringQuickSort,0.129198,37545
1500,CommonPrefix,MSD,0.795427,48700
1500,CommonPrefix,MSD_QS,0.602454,51341
1600,Random,MergeSort,1.24632,41141
1600,Random,QuickSort,0.154107,25223
1600,Random,StringMergeSort,0.919117,20729
1600,Random,StringQuickSort,0.11097,18053
1600,Random,MSD,0.287764,7156
1600,Random,MSD_QS,0.121268,10113
1600,Reverse,MergeSort,1.00568,39000
1600,Reverse,QuickSort,3.16263,1311809
1600,Reverse,StringMergeSort,0.849495,13000
1600,Reverse,StringQuickSort,0.189083,51345
1600,Reverse,MSD,0.360521,7802
1600,Reverse,MSD_QS,0.180866,29873
1600,NearlySorted,MergeSort,0.953219,27976
1600,NearlySorted,QuickSort,2.04376,716483
1600,NearlySorted,StringMergeSort,0.901266,18698
1600,NearlySorted,StringQuickSort,0.167055,44382
1600,NearlySorted,MSD,0.338447,7680
1600,NearlySorted,MSD_QS,0.123222,14447
1600,CommonPrefix,MergeSort,1.23555,459445
1600,CommonPrefix,QuickSort,0.269368,289021
1600,CommonPrefix,StringMergeSort,1.09874,231369
1600,CommonPrefix,StringQuickSort,0.141686,40404
1600,CommonPrefix,MSD,1.04272,51988
1600,CommonPrefix,MSD_QS,0.678627,54935
1700,Random,MergeSort,1.15448,44158
1700,Random,QuickSort,0.166556,26807
1700,Random,StringMergeSort,1.06925,22306
1700,Random,StringQuickSort,0.122386,18951
1700,Random,MSD,0.397959,7634
1700,Random,MSD_QS,0.195468,10948
1700,Reverse,MergeSort,0.953178,41616
1700,Reverse,QuickSort,3.25186,1478857
1700,Reverse,StringMergeSort,0.91091,13872
1700,Reverse,StringQuickSort,0.230144,57271
1700,Reverse,MSD,0.479365,8286
1700,Reverse,MSD_QS,0.169589,31771
1700,NearlySorted,MergeSort,1.09531,29985
1700,NearlySorted,QuickSort,1.26838,446661
1700,NearlySorted,StringMergeSort,0.953603,20067
1700,NearlySorted,StringQuickSort,0.187157,49457
1700,NearlySorted,MSD,0.367752,8162
1700,NearlySorted,MSD_QS,0.132376,15391
1700,CommonPrefix,MergeSort,1.32401,490045
1700,CommonPrefix,QuickSort,0.290104,323896
1700,CommonPrefix,StringMergeSort,1.10307,247897
1700,CommonPrefix,StringQuickSort,0.144596,44356
1700,CommonPrefix,MSD,0.909445,55280
1700,CommonPrefix,MSD_QS,0.732194,58565
1800,Random,MergeSort,1.1203,47333
1800,Random,QuickSort,0.183858,28639
1800,Random,StringMergeSort,1.18413,23859
1800,Random,StringQuickSort,0.125821,20383
1800,Random,MSD,0.324827,8170
1800,Random,MSD_QS,0.132544,11820
1800,Reverse,MergeSort,0.967453,44709
1800,Reverse,QuickSort,3.73984,1655661
1800,Reverse,StringMergeSort,1.01326,14903
1800,Reverse,StringQuickSort,0.239202,61226
1800,Reverse,MSD,0.42144,8762
1800,Reverse,MSD_QS,0.199989,33634
1800,NearlySorted,MergeSort,1.07151,31511
1800,NearlySorted,QuickSort,1.45335,497331
1800,NearlySorted,StringMergeSort,1.01926,21045
1800,NearlySorted,StringQuickSort,0.222751,54681
1800,NearlySorted,MSD,0.422025,8656
1800,NearlySorted,MSD_QS,0.14213,16251
1800,CommonPrefix,MergeSort,1.36221,524794
1800,CommonPrefix,QuickSort,0.400509,327219
1800,CommonPrefix,StringMergeSort,1.25348,265026
1800,CommonPrefix,StringQuickSort,0.159622,46060
1800,CommonPrefix,MSD,1.18448,58544
1800,CommonPrefix,MSD_QS,0.763999,62247
1900,Random,MergeSort,1.16937,50784
1900,Random,QuickSort,0.208923,32178
1900,Random,StringMergeSort,1.18625,25538
1900,Random,StringQuickSort,0.218197,24433
1900,Random,MSD,0.402519,8698
1900,Random,MSD_QS,0.146204,12586
1900,Reverse,MergeSort,1.04757,47868
1900,Reverse,QuickSort,4.28964,1842773
1900,Reverse,StringMergeSort,1.14904,15956
1900,Reverse,StringQuickSort,0.276145,67359
1900,Reverse,MSD,0.422903,9258
1900,Reverse,MSD_QS,0.211459,35570
1900,NearlySorted,MergeSort,1.17669,33716
1900,NearlySorted,QuickSort,0.737075,284127
1900,NearlySorted,StringMergeSort,0.990097,22398
1900,NearlySorted,StringQuickSort,0.206751,59017
1900,NearlySorted,MSD,0.462701,9144
1900,NearlySorted,MSD_QS,0.209441,17171
1900,CommonPrefix,MergeSort,1.3417,559847
1900,CommonPrefix,QuickSort,0.300186,340167
1900,CommonPrefix,StringMergeSort,1.49742,281875
1900,CommonPrefix,StringQuickSort,0.173787,49526
1900,CommonPrefix,MSD,0.99788,61858
1900,CommonPrefix,MSD_QS,0.75079,65792
2000,Random,MergeSort,2.00788,54000
2000,Random,QuickSort,0.214646,31916
2000,Random,StringMergeSort,1.30149,27116
2000,Random,StringQuickSort,0.148022,23334
2000,Random,MSD,0.38793,9196
2000,Random,MSD_QS,0.153814,13584
2000,Reverse,MergeSort,1.13136,51333
2000,Reverse,QuickSort,5.07718,2040191
2000,Reverse,StringMergeSort,1.21935,17111
2000,Reverse,StringQuickSort,0.393761,74114
2000,Reverse,MSD,0.48523,9740
2000,Reverse,MSD_QS,0.235955,37791
2000,NearlySorted,MergeSort,1.14884,36521
2000,NearlySorted,QuickSort,0.812317,290546
2000,NearlySorted,StringMergeSort,1.20242,23805
2000,NearlySorted,StringQuickSort,0.235948,62031
2000,NearlySorted,MSD,0.453931,9648
2000,NearlySorted,MSD_QS,0.159954,18074
2000,CommonPrefix,MergeSort,1.73382,596489
2000,CommonPrefix,QuickSort,0.349673,374772
2000,CommonPrefix,StringMergeSort,1.62518,299271
2000,CommonPrefix,StringQuickSort,0.241396,51813
2000,CommonPrefix,MSD,1.0454,65164
2000,CommonPrefix,MSD_QS,0.761433,69431
2100,Random,MergeSort,1.44793,57327
2100,Random,QuickSort,0.211568,35605
2100,Random,StringMergeSort,1.58102,28835
2100,Random,StringQuickSort,0.186677,24400
2100,Random,MSD,0.421653,9742
2100,Random,MSD_QS,0.173091,14412
2100,Reverse,MergeSort,1.49972,54132
2100,Reverse,QuickSort,6.25987,2246817
2100,Reverse,StringMergeSort,1.37844,18044
2100,Reverse,StringQuickSort,0.301709,80319
2100,Reverse,MSD,0.619543,10214
2100,Reverse,MSD_QS,0.469276,39458
